Constitency,Number,Constitency,Declaration Time
Houghton and Sunderland South,88,Houghton and Sunderland South,23:00
Sunderland Central,78,Sunderland Central,23:30
Washington and Sunderland West,76,Washington and Sunderland West,00:01
Kettering,298,Kettering,00:30
North Swindon,444,North Swindon,-
North Antrim,71,North Antrim,01:00
Battersea,568,Battersea,-
Foyle,69,Foyle,-
Newcastle upon Tyne Central,74,Newcastle upon Tyne Central,-
Newcastle upon Tyne East,66,Newcastle upon Tyne East,-
Nuneaton,338,Nuneaton,-
Putney,567,Putney,-
Broxbourne,431,Broxbourne,01:30
Darlington,112,Darlington,-
Lagan Valley,104,Lagan Valley,-
South Swindon,471,South Swindon,-
Tamworth,293,Tamworth,-
Tooting,595,Tooting,-
West Tyrone,79,West Tyrone,-
Wrexham,285,Wrexham,-
Angus,15,Angus,02:00
East Antrim,72,East Antrim,-
Belfast East,93,Belfast East,-
Blaenau Gwent,349,Blaenau Gwent,-
Bury North,142,Bury North,-
Bury South,155,Bury South,-
North West Cambridgeshire,323,North West Cambridgeshire,-
Carmarthen East and Dinefwr,435,Carmarthen East and Dinefwr,-
Ceredigion,411,Ceredigion,-
Clwyd South,308,Clwyd South,-
North Down,83,North Down,-
"East Kilbride, Strathaven and Lesmahagow",52,"East Kilbride, Strathaven and Lesmahagow",-
Epping Forest,432,Epping Forest,-
Falkirk,27,Falkirk,-
Fareham,612,Fareham,-
North East Fife,16,North East Fife,-
Glenrothes,22,Glenrothes,-
Halton,244,Halton,-
Hastings and Rye,627,Hastings and Rye,-
Kenilworth and Southam,379,Kenilworth and Southam,-
Kilmarnock and Loudoun,61,Kilmarnock and Loudoun,-
Kirkcaldy and Cowdenbeath,29,Kirkcaldy and Cowdenbeath,-
Llanelli,461,Llanelli,-
Na h-Eileanan an Iar,2,Na h-Eileanan an Iar,-
Newcastle upon Tyne North,65,Newcastle upon Tyne North,-
Oxford East,400,Oxford East,-
Peterborough,299,Peterborough,-
Ribble Valley,110,Ribble Valley,-
Rutherglen and Hamilton West,51,Rutherglen and Hamilton West,-
Strangford,94,Strangford,-
East Surrey,625,East Surrey,-
Thurrock,457,Thurrock,-
Upper Bann,103,Upper Bann,-
South Antrim,81,South Antrim,02:30
Arfon,305,Arfon,-
Burnley,131,Burnley,-
Caerphilly,413,Caerphilly,-
Castle Point,459,Castle Point,-
Dundee East,21,Dundee East,-
Dundee West,14,Dundee West,-
Hartlepool,90,Hartlepool,-
Inverclyde,23,Inverclyde,-
Islington North,501,Islington North,-
Islington South and Finsbury,519,Islington South and Finsbury,-
Leigh,182,Leigh,-
Ludlow,330,Ludlow,-
Mitcham and Morden,619,Mitcham and Morden,-
Montgomeryshire,307,Montgomeryshire,-
Motherwell and Wishaw,38,Motherwell and Wishaw,-
Paisley and Renfrewshire South,35,Paisley and Renfrewshire South,-
South Shields,68,South Shields,-
Stirling,19,Stirling,-
Taunton Deane,582,Taunton Deane,-
Torfaen,391,Torfaen,-
Totnes,649,Totnes,-
Vale of Clwyd,284,Vale of Clwyd,-
North Warwickshire,317,North Warwickshire,-
Wimbledon,566,Wimbledon,-
Ynys M̫n,260,Ynys M̫n,-
Aberavon,463,Aberavon,03:00
Aberconwy,282,Aberconwy,-
Airdrie and Shotts,33,Airdrie and Shotts,-
Alyn and Deeside,262,Alyn and Deeside,-
Amber Valley,252,Amber Valley,-
